date,week,Team,user_name,ao,type,points,notes
2025-09-14,1,Comet,Hanger,2nd-f,2ndf,3,Hey guys!  There's a deer ruck
2025-09-14,1,Comet,Hanger,2nd-f,2ndf,0,2nd F already achieved this week
2025-09-21,2,Comet,Hanger,2nd-f,2ndf,3,Reset Sunday Ruck
2025-09-21,2,Comet,Hanger,2nd-f,2ndf,0,2nd F already achieved this week
2025-09-25,2,Comet,Hanger,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-26,2,Comet,Hanger,3rd-f,3rdf,5,Pantry Truck
2025-09-26,2,Comet,Hanger,ao-the-colosseum,workout Q,1,Q
2025-09-26,2,Comet,Hanger,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-10-05,4,Comet,Hanger,2nd-f,2ndf,3,No free puppies ruck
2025-10-08,4,Comet,Hanger,ao-the-silo,workout Q,1,Q
2025-10-08,4,Comet,Hanger,ao-the-silo,1stf,3,ao-the-silo
2025-10-09,4,Comet,Hanger,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-10-14,5,Comet,Hanger,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-13,0,Dancer,Schlitz,ao-da-grizz,1stf,3,ao-da-grizz
2025-09-14,1,Dancer,Schlitz,2nd-f,2ndf,3,Hey guys!  There's a deer ruck
2025-09-19,1,Dancer,Schlitz,ao-the-grove,workout Q,1,Q
2025-09-19,1,Dancer,Schlitz,ao-the-grove,1stf,3,ao-the-grove
2025-09-20,1,Dancer,Schlitz,ao-da-grizz,1stf,3,ao-da-grizz
2025-09-20,1,Dancer,Schlitz,2nd-f,2ndf,0,2nd F already achieved this week
2025-09-21,2,Dancer,Schlitz,2nd-f,2ndf,3,Reset Sunday Ruck
2025-09-22,2,Dancer,Schlitz,ao-the-grove,1stf,3,ao-the-grove
2025-09-26,2,Dancer,Schlitz,ao-the-grove,1stf,3,ao-the-grove
2025-09-26,2,Dancer,Schlitz,3rd-f,3rdf,5,Pantry Truck
2025-09-28,3,Dancer,Schlitz,2nd-f,2ndf,3,"fire trucks, runners, and sparkler ruck"
2025-10-03,3,Dancer,Schlitz,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-10-03,3,Dancer,Schlitz,2nd-f,2ndf,0,2nd F already achieved this week
2025-10-04,3,Dancer,Schlitz,ao-da-grizz,1stf,3,ao-da-grizz
2025-10-05,4,Dancer,Schlitz,2nd-f,2ndf,3,No free puppies ruck
2025-10-11,4,Dancer,Schlitz,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-10-12,5,Dancer,Schlitz,2nd-f,2ndf,3,Back to the bridge ruck
2025-10-13,5,Dancer,Schlitz,ao-the-grove,1stf,3,ao-the-grove
2025-09-15,1,Dasher,Dilbert,rg_ec3,ec,3,"EC, noice!"
2025-09-15,1,Dasher,Dilbert,ao-the-grove,1stf,3,ao-the-grove
2025-09-15,1,Dasher,Dilbert,rg_ec3,ec,0,EC points already earned today
2025-09-17,1,Dasher,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-18,1,Dasher,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-19,1,Dasher,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-20,1,Dasher,Dilbert,2nd-f,2ndf,3,Plainfield Homecoming Parade
2025-09-22,2,Dasher,Dilbert,ao-the-grove,1stf,3,ao-the-grove
2025-09-23,2,Dasher,Dilbert,ao-dmz,workout Q,1,Q
2025-09-23,2,Dasher,Dilbert,ao-dmz,1stf,3,ao-dmz
2025-09-24,2,Dasher,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-26,2,Dasher,Dilbert,3rd-f,3rdf,5,Pantry Truck
2025-09-26,2,Dasher,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-29,3,Dasher,Dilbert,ao-the-grove,1stf,3,ao-the-grove
2025-09-30,3,Dasher,Dilbert,ao-dmz,1stf,3,ao-dmz
2025-10-01,3,Dasher,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-03,3,Dasher,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-06,4,Dasher,Dilbert,ao-the-grove,1stf,3,ao-the-grove
2025-10-08,4,Dasher,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-09,4,Dasher,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-10,4,Dasher,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-13,5,Dasher,Dilbert,ao-the-grove,1stf,3,ao-the-grove
2025-09-13,0,Vixen,fuzzy navel,ao-da-grizz,1stf,3,ao-da-grizz
2025-09-16,1,Vixen,fuzzy navel,ao-el-coyote,1stf,3,ao-el-coyote
2025-09-23,2,Vixen,fuzzy navel,ao-el-coyote,workout Q,1,Q
2025-09-23,2,Vixen,fuzzy navel,ao-el-coyote,1stf,3,ao-el-coyote
2025-09-26,2,Vixen,fuzzy navel,3rd-f,3rdf,5,Pantry Truck
2025-10-04,3,Vixen,fuzzy navel,ao-da-grizz,1stf,3,ao-da-grizz
2025-10-06,4,Vixen,fuzzy navel,3rd-f,3rdf,5,Fire Zone 5k
2025-10-11,4,Vixen,fuzzy navel,ao-da-grizz,1stf,3,ao-da-grizz
2025-09-13,0,Blitzen,YellowPages,ao-da-grizz,1stf,3,ao-da-grizz
2025-09-15,1,Blitzen,YellowPages,rg_ec3,ec,3,"EC, noice!"
2025-09-15,1,Blitzen,YellowPages,rg_ec3,ec,0,EC points already earned today
2025-09-16,1,Blitzen,YellowPages,ao-black-rock,1stf,3,ao-black-rock
2025-09-17,1,Blitzen,YellowPages,ao-ravens-nest,1stf,3,ao-ravens-nest
2025-09-20,1,Blitzen,YellowPages,ao-da-grizz,workout Q,1,Q
2025-09-20,1,Blitzen,YellowPages,ao-da-grizz,1stf,3,ao-da-grizz
2025-09-23,2,Blitzen,YellowPages,ao-black-rock,1stf,3,ao-black-rock
2025-09-23,2,Blitzen,YellowPages,ao-el-coyote,1stf,3,ao-el-coyote
2025-09-24,2,Blitzen,YellowPages,ao-ravens-nest,workout Q,1,Q
2025-09-24,2,Blitzen,YellowPages,ao-ravens-nest,1stf,3,ao-ravens-nest
2025-09-26,2,Blitzen,YellowPages,3rd-f,3rdf,5,Pantry Truck
2025-09-26,2,Blitzen,YellowPages,ao-da-grizz,1stf,3,ao-da-grizz
2025-09-27,2,Blitzen,YellowPages,ao-da-grizz,workout Q,0,you already Q'd a workout this week
2025-09-27,2,Blitzen,YellowPages,ao-da-grizz,1stf,3,ao-da-grizz
2025-09-30,3,Blitzen,YellowPages,ao-black-rock,1stf,3,ao-black-rock
2025-10-01,3,Blitzen,YellowPages,ao-ravens-nest,1stf,3,ao-ravens-nest
2025-10-03,3,Blitzen,YellowPages,ao-da-grizz,1stf,3,ao-da-grizz
2025-10-04,3,Blitzen,YellowPages,2nd-f,2ndf,3,Sailer Moon’s Chili Cookoff
2025-10-04,3,Blitzen,YellowPages,ao-da-grizz,1stf,3,ao-da-grizz
2025-10-05,4,Blitzen,YellowPages,2nd-f,2ndf,3,Adoptapalooza 2025!
2025-10-06,4,Blitzen,YellowPages,2nd-f,2ndf,0,2nd F already achieved this week
2025-10-06,4,Blitzen,YellowPages,3rd-f,3rdf,5,Fire Zone 5k
2025-10-07,4,Blitzen,YellowPages,ao-black-rock,workout Q,1,Q
2025-10-07,4,Blitzen,YellowPages,ao-black-rock,1stf,3,ao-black-rock
2025-10-08,4,Blitzen,YellowPages,ao-ravens-nest,1stf,3,ao-ravens-nest
2025-10-10,4,Blitzen,YellowPages,ao-da-grizz,1stf,3,ao-da-grizz
2025-10-11,4,Blitzen,YellowPages,ao-da-grizz,1stf,3,ao-da-grizz
2025-10-13,5,Blitzen,YellowPages,rg_ec3,ec,3,"EC, noice!"
2025-10-13,5,Blitzen,YellowPages,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-10-14,5,Blitzen,YellowPages,ao-black-rock,1stf,3,ao-black-rock
2025-09-18,1,Blitzen,Hank Hill,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-09-19,1,Blitzen,Hank Hill,ao-the-grove,1stf,3,ao-the-grove
2025-09-20,1,Blitzen,Hank Hill,2nd-f,2ndf,3,Plainfield Homecoming Parade
2025-09-21,2,Blitzen,Hank Hill,2nd-f,2ndf,3,Reset Sunday Ruck
2025-09-21,2,Blitzen,Hank Hill,2nd-f,2ndf,0,2nd F already achieved this week
2025-09-22,2,Blitzen,Hank Hill,ao-the-grove,1stf,3,ao-the-grove
2025-09-23,2,Blitzen,Hank Hill,3rd-f-qsource,qs,5,QS
2025-09-23,2,Blitzen,Hank Hill,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-09-23,2,Blitzen,Hank Hill,ao-el-coyote,1stf,3,ao-el-coyote
2025-09-24,2,Blitzen,Hank Hill,ao-ravens-nest,1stf,3,ao-ravens-nest
2025-09-25,2,Blitzen,Hank Hill,,Around The World,5,"('ao-el-coyote', 'ao-the-grove', 'ao-the-ridge', 'ao-ravens-nest', 'ao-the-colosseum')"
2025-09-25,2,Blitzen,Hank Hill,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-26,2,Blitzen,Hank Hill,,sixpack bonus,4,"('ao-the-grove', 'ao-the-colosseum', 'ao-el-coyote', 'ao-ravens-nest', 'ao-the-ridge', 'ao-the-grove')"
2025-09-26,2,Blitzen,Hank Hill,ao-the-grove,1stf,3,ao-the-grove
2025-09-26,2,Blitzen,Hank Hill,3rd-f,3rdf,5,Pantry Truck
2025-09-29,3,Blitzen,Hank Hill,ao-the-grove,1stf,3,ao-the-grove
2025-09-30,3,Blitzen,Hank Hill,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-10-01,3,Blitzen,Hank Hill,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-10-02,3,Blitzen,Hank Hill,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-03,3,Blitzen,Hank Hill,ao-da-grizz,1stf,3,ao-da-grizz
2025-10-03,3,Blitzen,Hank Hill,,sixpack bonus,4,"('ao-the-grove', 'ao-the-colosseum', 'ao-the-colosseum', 'ao-the-ridge', 'ao-da-grizz', 'ao-the-ridge')"
2025-10-03,3,Blitzen,Hank Hill,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-03,3,Blitzen,Hank Hill,2nd-f,2ndf,3,1st Friday Werkforce
2025-10-04,3,Blitzen,Hank Hill,2nd-f,2ndf,0,2nd F already achieved this week
2025-10-05,4,Blitzen,Hank Hill,3rd-f,3rdf,5,Adoptapalooza 2025
2025-10-05,4,Blitzen,Hank Hill,2nd-f,2ndf,3,Adoptapalooza 2025!
2025-10-06,4,Blitzen,Hank Hill,2nd-f,2ndf,0,2nd F already achieved this week
2025-10-06,4,Blitzen,Hank Hill,3rd-f,3rdf,0,3rd F already achieved this week
2025-10-07,4,Blitzen,Hank Hill,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-08,4,Blitzen,Hank Hill,ao-the-silo,1stf,3,ao-the-silo
2025-10-09,4,Blitzen,Hank Hill,ao-el-coyote,1stf,3,ao-el-coyote
2025-10-09,4,Blitzen,Hank Hill,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-10,4,Blitzen,Hank Hill,ao-da-grizz,workout Q,1,Q
2025-10-10,4,Blitzen,Hank Hill,ao-da-grizz,1stf,3,ao-da-grizz
2025-10-12,5,Blitzen,Hank Hill,2nd-f,2ndf,3,Back to the bridge ruck
2025-10-13,5,Blitzen,Hank Hill,ao-the-grove,1stf,3,ao-the-grove
2025-10-14,5,Blitzen,Hank Hill,ao-black-diamond,1stf,4,ao-black-diamond
2025-09-24,2,Comet,Ozark,ao-ravens-nest,1stf,3,ao-ravens-nest
2025-09-27,2,Comet,Ozark,ao-da-grizz,1stf,3,ao-da-grizz
2025-10-06,4,Comet,Ozark,3rd-f,3rdf,5,Fire Zone 5k
2025-09-29,3,Vixen,Binford,ao-the-grove,1stf,3,ao-the-grove
2025-10-03,3,Vixen,Binford,2nd-f,2ndf,3,1st Friday Werkforce
