date,week,Team,type,points,notes
2025-09-13,0,Dasher,FNG1,3,Italian Ice
2025-09-13,0,Blitzen,Individuals points,17,"['YellowPages', 'Duck Hunt', 'Juanita', 'Old Maid', 'Dauber']"
2025-09-13,0,Dasher,Santa Locks,5,"ao-the-ridge; Dilly Dilly, 5-Putt, vern, Mr. Belding, Mahomes"
2025-09-13,0,Comet,Individuals points,32,"['Boomer', 'Bob Villa', 'Scuba Steve', 'Party in a bottle', 'Cutler', 'Spit Valve', 'Pretzel']"
2025-09-13,0,Dasher,Individuals points,30,"['vern', 'Chum Bucket', 'Schlitz', 'Foreclosure', 'Italian Ice', 'Dilly Dilly', 'Singer', 'Mahomes', '5-Putt', 'Mr. Belding']"
2025-09-13,0,Comet,FNG1,3,Party in a bottle
2025-09-13,0,Comet,FNG1,3,Pretzel
2025-09-14,1,Blitzen,Individuals points,3,['Caboose']
2025-09-14,1,Dasher,Individuals points,9,"['Hanger', 'Schlitz', 'Sparky']"
2025-09-15,1,Blitzen,Individuals points,46,"['Scratch and Dent', 'YellowPages', 'Duck Hunt', 'Caboose', 'Old Maid', 'Depends (3rdF Q)', 'Mr. Kotter', 'Hodl', 'Pull-up', 'Hat Trick', 'Dauber', 'Pee Wee Herman', 'Corner Kick']"
2025-09-15,1,Dasher,Individuals points,39,"['vern', 'Foreclosure', 'Meta', 'Manhole', 'Sparky', 'Italian Ice', 'Zimmer', 'Dilly Dilly', 'Singer', 'Mahomes', '5-Putt', 'Mr. Belding']"
2025-09-15,1,Dasher,Santa Locks,5,"ao-the-colosseum; vern, Mr. Belding, 5-Putt, Foreclosure, Zimmer"
2025-09-15,1,Cupid,Individuals points,15,"['Blue Gill', 'Napster', 'Cinderella', 'Doozie', 'Foghorn']"
2025-09-15,1,Cupid,FNG1,3,Doozie
2025-09-15,1,Comet,Santa Locks,5,"ao-the-ridge; Foundation, Party in a bottle, Scuba Steve, Fish Tape, Morticia"
2025-09-15,1,Comet,Individuals points,38,"['Dilbert', 'Foundation', 'Scuba Steve', 'Bedpan', 'Nemo', 'Party in a bottle', 'Sparkler', 'Cutler', 'Fish Tape', 'Broomstick', 'Morticia']"
2025-09-16,1,Blitzen,Individuals points,35,"['Scratch and Dent', 'YellowPages', 'Juanita', 'Old Maid', 'Depends (3rdF Q)', 'Hatchet (Lizard Q)', 'Hodl', 'Pull-up', 'Dauber', 'Celine Dion', 'Corner Kick']"
2025-09-16,1,Cupid,Individuals points,9,"['Blue Gill', 'Bunker', 'Doozie']"
2025-09-16,1,Dasher,Individuals points,31,"['vern', 'Chum Bucket', 'Foreclosure', 'Meta', 'Sparky', 'Singer', '5-Putt', 'Otto Man', 'Mr. Belding']"
2025-09-16,1,Comet,Individuals points,37,"['Boomer', 'Dear Abby', 'Foundation', 'Scuba Steve', 'Bedpan', 'Nemo', 'Sparkler', 'Cutler', 'Spit Valve', 'Broomstick', 'Pretzel', 'Morticia']"
2025-09-17,1,Blitzen,Individuals points,33,"['Scratch and Dent', 'YellowPages', 'Duck Hunt', 'Caboose', 'Old Maid', 'Hatchet (Lizard Q)', 'Mr. Kotter', 'Pull-up', 'Dauber', 'Celine Dion', 'Corner Kick']"
2025-09-17,1,Comet,Individuals points,37,"['Boomer', 'Dilbert', 'Dear Abby', 'Bob Villa', 'Bedpan', 'Party in a bottle', 'Sparkler', 'Cutler', 'Spit Valve', 'Fish Tape']"
2025-09-17,1,Cupid,Individuals points,9,"['Napster', 'Den Mother', 'Foghorn']"
2025-09-17,1,Dasher,Individuals points,44,"['vern', 'Foreclosure', 'Meta', 'Manhole', 'Sparky', 'Italian Ice', 'Singer', 'Mahomes', '5-Putt', 'Mr. Belding']"
2025-09-17,1,Comet,Santa Locks,5,"ao-the-silo; Party in a bottle, Fish Tape, Spit Valve, Cutler, Dear Abby"
2025-09-18,1,Blitzen,Individuals points,46,"['Hank Hill', 'YellowPages', 'Caboose', 'Juanita', 'Old Maid', 'Depends (3rdF Q)', 'Hatchet (Lizard Q)', 'Mr. Kotter', 'Pull-up', 'Hat Trick', 'Dauber']"
2025-09-18,1,Comet,Individuals points,43,"['Dilbert', 'Dear Abby', 'Bob Villa', 'Scuba Steve', 'Nemo', 'Party in a bottle', 'Sparkler', 'Cutler', 'Spit Valve', 'Fish Tape', 'Broomstick', 'Morticia']"
2025-09-18,1,Cupid,Individuals points,11,"['Blue Gill', 'Napster', 'Foghorn']"
2025-09-18,1,Blitzen,challenge_flag,1,Blitzen - Depends (3rdF Q)
2025-09-18,1,Dasher,Individuals points,26,"['vern', 'Chum Bucket', 'Foreclosure', 'Meta', 'Manhole', 'Zimmer', 'Singer', '5-Putt']"
2025-09-19,1,Blitzen,Individuals points,40,"['Hank Hill', 'Scratch and Dent', 'YellowPages', 'Caboose', 'Juanita', 'Old Maid', 'Mr. Kotter', 'Pull-up', 'Dauber', 'Pee Wee Herman']"
2025-09-19,1,Comet,Individuals points,39,"['Boomer', 'Dilbert', 'Dear Abby', 'Bob Villa', 'Bedpan', 'Nemo', 'Party in a bottle', 'Cutler', 'Spit Valve', 'Pretzel', 'Morticia']"
2025-09-19,1,Dasher,Individuals points,25,"['Schlitz', 'Foreclosure', 'Meta', 'Italian Ice', 'Dilly Dilly', 'Singer', 'Otto Man', 'Mr. Belding']"
2025-09-19,1,Blitzen,challenge_flag,1,Held from previous claim by Blitzen - Depends (3rdF Q)
2025-09-19,1,Comet,FNG5,5,Party in a bottle
2025-09-19,1,Dasher,FNG5,5,Italian Ice
2025-09-19,1,Comet,FNG_VQ,7,Party in a bottle
2025-09-20,1,Dasher,Individuals points,28,"['Schlitz', 'Meta', 'Italian Ice', 'Dilly Dilly', 'Singer']"
2025-09-20,1,Comet,Individuals points,21,"['Boomer', 'Dilbert', 'Dear Abby', 'Bedpan', 'Nemo', 'Party in a bottle', 'Spit Valve']"
2025-09-20,1,Blitzen,Individuals points,27,"['Hank Hill', 'YellowPages', 'Caboose', 'Juanita', 'Hatchet (Lizard Q)', 'Mr. Kotter', 'Dauber']"
2025-09-20,1,Blitzen,challenge_flag,1,Held from previous claim by Blitzen - Depends (3rdF Q)
2025-09-21,2,Comet,Individuals points,9,"['Boomer', 'Dear Abby', 'Bedpan']"
2025-09-21,2,Blitzen,Individuals points,9,"['Hank Hill', 'Caboose', 'Old Maid']"
2025-09-21,2,Blitzen,challenge_flag,1,Held from previous claim by Blitzen - Depends (3rdF Q)
2025-09-21,2,Dasher,Individuals points,6,"['Hanger', 'Schlitz']"
2025-09-22,2,Blitzen,challenge_flag,1,Held from previous claim by Blitzen - Depends (3rdF Q)
2025-09-22,2,Comet,Individuals points,30,"['Dilbert', 'Dear Abby', 'Bob Villa', 'Scuba Steve', 'Bedpan', 'Nemo', 'Sparkler', 'Fish Tape', 'Morticia']"
2025-09-22,2,Cupid,Individuals points,16,"['Happy Camper', 'Napster', 'Cinderella', 'Bunker', 'Foghorn']"
2025-09-22,2,Dasher,Individuals points,21,"['vern', 'Schlitz', 'Meta', 'Manhole', 'Singer', '5-Putt', 'Mr. Belding']"
2025-09-22,2,Blitzen,Individuals points,33,"['Hank Hill', 'Scratch and Dent', 'Duck Hunt', 'Juanita', 'Old Maid', 'Hodl', 'Pull-up', 'Hat Trick', 'Dauber', 'Pee Wee Herman', 'Corner Kick']"
2025-09-23,2,Blitzen,Individuals points,36,"['Hank Hill', 'Scratch and Dent', 'YellowPages', 'Duck Hunt', 'Depends (3rdF Q)', 'Mr. Kotter', 'Hat Trick', 'Corner Kick']"
