date,week,Team,user_name,ao,type,points,notes
2025-11-01,0,NONE,F3CrossroadsIL,2nd-f,2ndf,5,Plankton’s Texas Hold’em tourney
2025-11-01,0,NONE,F3CrossroadsIL,downrange,1stf,4,downrange - chaminwood bd lift club
2025-11-03,1,NONE,F3CrossroadsIL,downrange,1stf,3,downrange - F3 Chaminwood The Island + Wood
2025-11-04,1,NONE,F3CrossroadsIL,downrange,1stf,3,downrange - The Outpost Run Club
2025-11-04,1,NONE,F3CrossroadsIL,rg_ec3,ec,3,"EC, noice!"
2025-11-05,1,NONE,F3CrossroadsIL,downrange,1stf,3,downrange - outpost vq chicken fat
2025-11-06,1,NONE,F3CrossroadsIL,downrange,1stf,3,downrange - EEBC The Wood
2025-11-06,1,NONE,F3CrossroadsIL,rg_ec2,ec,2,"EC, noice!"
2025-11-07,1,NONE,F3CrossroadsIL,downrange,1stf,3,downrange - 5:15 @ The Complex
2025-11-07,1,NONE,F3CrossroadsIL,rg_ec3,ec,3,"EC, noice!"
2025-11-08,1,NONE,F3CrossroadsIL,,sixpack bonus,4,"('downrange', 'downrange', 'downrange', 'downrange', 'downrange', 'downrange')"
2025-11-08,1,NONE,F3CrossroadsIL,downrange,1stf,3,downrange - The Wood Ruckclub
2025-11-08,1,NONE,F3CrossroadsIL,rg_3rdf_donation,Donation,3,"$$, way to be generous!"
2025-11-10,2,NONE,F3CrossroadsIL,downrange,1stf,3,downrange - 3R evening Grenades
2025-11-11,2,NONE,F3CrossroadsIL,downrange,1stf,3,downrange - The Wood
2025-11-12,2,NONE,F3CrossroadsIL,rg_ec2,ec,2,"EC, noice!"
2025-11-01,0,Unknown Team,FINCH,2nd-f,2ndf,5,Plankton’s Texas Hold’em tourney
2025-11-03,1,Unknown Team,FINCH,downrange,1stf,3,downrange - The Snowbirds Arrive
2025-11-03,1,Unknown Team,FINCH,rg_ec3,ec,3,"EC, noice!"
2025-11-05,1,Unknown Team,FINCH,downrange,1stf,3,downrange - Dora with Finch
2025-11-07,1,Unknown Team,FINCH,rg_ec3,ec,3,"EC, noice!"
2025-11-09,2,Unknown Team,FINCH,2nd-f,2ndf,5,Bears win vs Giants
2025-11-10,2,Unknown Team,FINCH,downrange,1stf,3,downrange - 3R evening Grenades
2025-11-11,2,Unknown Team,FINCH,ao-el-coyote,1stf,3,ao-el-coyote - The MURPH
2025-11-01,0,NONE,Deja vu,2nd-f,2ndf,5,Plankton’s Texas Hold’em tourney
2025-11-01,0,NONE,Deja vu,2nd-f,2ndf,0,2nd F already achieved this week
2025-11-01,0,NONE,Deja vu,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-02,1,NONE,Deja vu,2nd-f,2ndf,5,Return of the points ruckers
2025-11-12,2,NONE,Deja vu,downrange,1stf,3,downrange - Clash at The Wood
2025-11-13,2,NONE,Deja vu,ao-the-olympiad,1stf,3,ao-the-olympiad - Bob Villa’s Bootcamp
2025-11-01,0,Unknown Team,Dutch Boy,2nd-f,2ndf,5,Plankton’s Texas Hold’em tourney
2025-11-11,2,Unknown Team,Party In A Box,2nd-f,2ndf,5,Veterans Day Lunch
2025-11-03,1,Unknown Team,ATF,downrange,1stf,3,downrange - The Snowbirds Arrive
2025-11-07,1,Unknown Team,ATF,2nd-f,2ndf,5,1st Friday at Werk Force
2025-11-09,2,Unknown Team,ATF,2nd-f,2ndf,5,Bears win vs Giants
2025-11-10,2,Unknown Team,ATF,ao-the-silo,1stf,3,ao-the-silo - Blue Gill Ice Fishing
2025-11-01,0,NONE,Bunny Hill,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,NONE,Bunny Hill,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-01,0,NONE,Boo Boo,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,NONE,Boo Boo,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-01,0,Unknown Team,Freon,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,Unknown Team,Freon,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-07,1,Unknown Team,Deflated,2nd-f,2ndf,5,1st Friday at Werk Force
2025-11-01,0,NONE,Farmers Only,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,NONE,Farmers Only,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-05,1,NONE,Farmers Only,downrange,1stf,3,downrange - Dora with Finch
2025-11-01,0,NONE,Training Wheels,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,NONE,Home goods,2nd-f,2ndf,5,Post convergence Food and Fellowship
