Date,AO,Q,parsed_backblast,region
"Sep 9, 2025",ao-three-rivers-pm,Norm,"Football Bootcamp 
",f3cha-min-wood
"Sep 9, 2025",ao-black-rock,Sparkler,"Sparklers Donut Dash
",f3crossroads
"Sep 9, 2025",downrange,F3CrossroadsIL,"Snake Pit Fort Mill KB
",f3crossroads
"Sep 9, 2025",ao-black-diamond,Bedpan,"coupons and sandbags 
",f3crossroads
"Sep 9, 2025",ao-the-wood,Picasso,"Scout Towne Center Run
",f3cha-min-wood
"Sep 9, 2025",2nd-f,Finch,"Bears Home Opener
",f3cha-min-wood
"Sep 9, 2025",ao-the-colosseum,Singer,"Singers double circuit. 
",f3crossroads
"Sep 9, 2025",ao-three-rivers,Binford,"4 Corners
",f3cha-min-wood
"Sep 9, 2025",ao-dmz,Dilbert,"Dilberts BC
",f3crossroads
"Sep 8, 2025",ao-the-wood,Rooney,"Iron pax week 1
",f3cha-min-wood
"Sep 8, 2025",downrange,Duck Hunt,"Arms day with some legs cuz why not
",f3crossroads
"Sep 8, 2025",ao-the-silo,Nemo,"Nemo’s World
",f3crossroads
"Sep 8, 2025",2nd-f-coffeteria,Nemo,"Full moon rising! S&D with the coffee. Topic  today ",f3crossroads
"Sep 8, 2025",ao-the-ridge,Hatchet (Lizard Q),"Make them shoulders cry BC
",f3crossroads
"Sep 8, 2025",2nd-f-coffeteria,Foundation,"Foundation's coffee crew The Grove
",f3crossroads
"Sep 8, 2025",ao-the-colosseum,Depends (3rdF Q),"It Depends on Which Route You Take 
",f3crossroads
"Sep 8, 2025",ao-the-grove,Foundation,"Twilight Part 3: Breaking Wind
",f3crossroads
"Sep 8, 2025",ao-the-island,Squidward,"“Gilligans” Island RESPECT boot camp
",f3cha-min-wood
"Sep 8, 2025",downrange,Slackbot,"Mobility and breath work at the Globe with El Guapo
",f3crossroads
"Sep 7, 2025",2nd-f,Schlitz,"Return of Xerox and the ? ruck
",f3crossroads
"Sep 6, 2025",downrange,Puddles,"Morris black ops
",f3cha-min-wood
"Sep 6, 2025",downrange,Bob Villa,"Bob Villas BD Lift Club
",f3crossroads
"Sep 6, 2025",ao-the-wood,Binford,"Ruck Around and Find Out
",f3cha-min-wood
"Sep 6, 2025",ao-three-rivers,Binford,"Ruck Around and Find Out
",f3cha-min-wood
"Sep 6, 2025",downrange,F3CrossroadsIL,"Buzzsaw Trail Run
",f3crossroads
"Sep 6, 2025",ao-the-colosseum,Celler Dweller,"Iron Pax 0
",f3crossroads
"Sep 6, 2025",ao-the-olympiad,Pull-up,"Getting in Miles
",f3crossroads
"Sep 6, 2025",ao-the-ridge,Old Maid,"Old Maid's Ultimate Football week 4
",f3crossroads
"Sep 6, 2025",downrange,Hanger,"Ruck club Binford 
",f3crossroads
"Sep 6, 2025",2nd-f,Hatchet (Lizard Q),"Imperial Oak social ride
",f3crossroads
"Sep 6, 2025",ao-da-grizz,Schlitz,"Schlitz' Amtrak Ruck
",f3crossroads
"Sep 6, 2025",ao-black-diamond,Bob Villa (F3 Plainfield),"Bob Villa 2x2:1 Tabata Pump
",f3cha-min-wood
"Sep 6, 2025",downrange,Binford,"The Woods Saturday Ruck Club/PT
",f3crossroads
"Sep 5, 2025",ao-the-colosseum,Soft Hands,"Friday BC
",f3crossroads
"Sep 5, 2025",2nd-f-coffeteria,Hanger,"Foundation BC
",f3crossroads
"Sep 5, 2025",ao-the-island,Ricola,"Iron Pax Challenge - Week 0 - at the ?️
",f3cha-min-wood
"Sep 5, 2025",ao-da-grizz,Party in a bottle,"Cheers! Bottles up!
",f3crossroads
"Sep 5, 2025",ao-the-grove,Den Mother,"Den Mother's and Soft Hands AO Collab Run/ Bootcamp
",f3crossroads
"Sep 5, 2025",ao-three-rivers,Flamingo,"Deck of Death vs Flamingo’s Fun Box
",f3cha-min-wood
"Sep 5, 2025",2nd-f,Dear Abby,"First Friday's at Werk Force
",f3crossroads
"Sep 5, 2025",downrange,Plunger,"Welcome to the Circus!!
",f3cha-min-wood
"Sep 5, 2025",2nd-f-coffeteria,Sizzler,"Sizzler and Sparkler bring the JOLT! CAFFEINE!
",f3crossroads
"Sep 5, 2025",rg_ec1,Pull-up,"EC 3.14
",f3crossroads
"Sep 5, 2025",2nd-f-coffeteria,Ricola,"3Riv 9/5/25 
",f3cha-min-wood
"Sep 5, 2025",ao-the-ridge,Foundation,"no crazy foundation movements 
",f3crossroads
"Sep 4, 2025",ao-the-olympiad,Chum Bucket,"Iron Pax Week 0 at the Olympiad
",f3crossroads
"Sep 4, 2025",ao-the-wood,Flamingo,"Flamingo’s Ruck
",f3cha-min-wood
"Sep 4, 2025",ao-the-colosseum,Spit Valve,"Spit valves Leg Day
",f3crossroads
"Sep 4, 2025",ao-el-coyote,Hot Lava,"Hot Lava AO Beatdown
",f3crossroads
"Sep 4, 2025",downrange,Slackbot,"Uncle Rico’s Double black diamond GTE training 
",f3crossroads
"Sep 4, 2025",rg_ec3,YellowPages,"EC3 Run RG
",f3crossroads
"Sep 4, 2025",ao-black-diamond,Foreclosure,"Left, right, left.  Left, right, left. 
",f3crossroads
"Sep 4, 2025",ao-the-campus,Crabgrass,"The Best Stargazing in the Region
",f3cha-min-wood
"Sep 4, 2025",3rd-f-qsource,TruGreen,"Q3.9 Commitment 
",f3crossroads
"Sep 4, 2025",ao-the-ridge,Bedpan,"Bedpan - Pearls To Each Pavillion
",f3crossroads
"Sep 3, 2025",ao-three-rivers-pm,Finch,"upper body blast
",f3cha-min-wood
"Sep 3, 2025",downrange,Italian Ice,"Morning BC F3 Southsid3@Woodsh3d
",f3crossroads
"Sep 3, 2025",downrange,Caboose,"SLT6 Ruck
",f3crossroads
"Sep 3, 2025",ao-black-diamond,Spike Horn,"Spikehorn’s Swolercoaster of Love ??????
",f3cha-min-wood
"Sep 3, 2025",ao-the-silo,Celler Dweller,"Celler Dweller’s Training for Life
",f3crossroads
"Sep 3, 2025",ao-the-wood,Rooney,"Prep for iron pax challenge led by rooney
",f3cha-min-wood
"Sep 3, 2025",downrange,FINCH,"Finch Upper Body BC
",f3crossroads
"Sep 3, 2025",ao-ravens-nest,Hank Hill,"Hank Hill@ IPC Week 0
",f3crossroads
"Sep 3, 2025",ao-the-colosseum,Jellystone,"Jelly’s Gauntlet Ruck Club
",f3crossroads
"Sep 3, 2025",downrange,Slackbot,"The Wood BD Swolercoaster
",f3crossroads
"Sep 3, 2025",ao-the-ridge,Broomstick,"Triple Thang Run Around
",f3crossroads
"Sep 3, 2025",2nd-f-coffeteria,Hanger,"Week 0 Hank Hill
",f3crossroads
"Sep 2, 2025",ao-black-diamond,Just Dance,"Just Dance  1 year Manniversary 
",f3crossroads
"Sep 2, 2025",ao-the-ridge,5-Putt,"Week 0 IPAX
",f3crossroads
"Sep 2, 2025",ao-black-rock,Depends (3rdF Q),"Depends Bootcamp
",f3crossroads
"Sep 2, 2025",ao-dmz,Zimmer,"4 amigo beatdown
",f3crossroads
"Sep 2, 2025",ao-the-colosseum,Party in a bottle,"VQ for Party in a Bottle
",f3crossroads
"Sep 2, 2025",3rd-f-qsource,ATF,"Apprenticeship 
",f3cha-min-wood
"Sep 2, 2025",2nd-f,Caboose,"Birthday boys at Station 1
",f3crossroads
"Sep 2, 2025",ao-three-rivers,GrubX (CMW),"Grub X pearls
",f3cha-min-wood
"Sep 2, 2025",ao-el-coyote,Manhole,"IPC week 0
",f3crossroads
"Sep 2, 2025",downrange,Slackbot,"Run club at the ? 
",f3crossroads
"Sep 2, 2025",downrange,F3CrossroadsIL,"GTE Training
",f3crossroads
"Sep 2, 2025",3rd-f-qsource,Mahomes,"El Coyote QSource - Q1.3 - Queen
",f3crossroads
"Sep 2, 2025",ao-the-wood,Squidward,"Trans Parking and S#!+ Talking
",f3cha-min-wood
"Sep 1, 2025",ao-the-wood,Yellow Card,"Yellowcard Manny
",f3cha-min-wood
"Sep 1, 2025",ao-the-island,Picasso,"Picasso’s Labor Day Work (out)
",f3cha-min-wood
"Sep 1, 2025",ao-the-grove,Old Maid,"Old Maid’s Circle of Pain
",f3crossroads
"Sep 1, 2025",ao-the-ridge,Scuba Steve,"?ScubaSquad VQ ?
",f3crossroads
"Sep 1, 2025",ao-the-silo,Foundation,"Labor Day DORA
",f3crossroads
"Sep 1, 2025",downrange,Slackbot,"Yellowcard 4 year Manni
",f3crossroads
"Sep 1, 2025",2nd-f-coffeteria,Hanger,"Scuba Steve VQ
",f3crossroads
"Sep 1, 2025",ao-the-colosseum,Singer,"Run Club 
",f3crossroads
"Aug 31, 2025",2nd-f,Schlitz,"Winston's longest walk ever
",f3crossroads
"Aug 30, 2025",ao-black-diamond,Millville,"Circuit Soleil presented by Millville 
",f3cha-min-wood
"Aug 30, 2025",downrange,Millville,"BDLC at The Wood
",f3crossroads
"Aug 30, 2025",downrange,Slackbot,"Ruck at The Wood
",f3crossroads
"Aug 30, 2025",downrange,ATF,"South3ide Grainery
",f3cha-min-wood
"Aug 30, 2025",ao-da-grizz,Duck Hunt,"Boomer's Big Blowout Ruck
",f3crossroads
"Aug 30, 2025",ao-the-wood,Millville,"Ruck club
",f3cha-min-wood
"Aug 30, 2025",ao-the-ridge,5-Putt,"5 Putt's Ultimate Football!
",f3crossroads
"Aug 30, 2025",ao-the-colosseum,Duck Hunt,"Duck Hunts Star Camp!
",f3crossroads
"Aug 30, 2025",downrange,Snail Mail,"Morris black ops
",f3cha-min-wood
"Aug 29, 2025",ao-da-grizz,Depends (3rdF Q),"Circle of Pain
",f3crossroads
"Aug 29, 2025",ao-the-grove,Bunker,"The Grove Fridays Bunker Pre-Birthday Beatdown
",f3crossroads
"Aug 29, 2025",2nd-f-coffeteria,Zimmer,"ridge coffee 
",f3crossroads
"Aug 29, 2025",2nd-f-coffeteria,Hanger,"5 yr Foundation
",f3crossroads
"Aug 29, 2025",ao-three-rivers,Rooney,"Rooney's Crawl Square
",f3cha-min-wood
"Aug 29, 2025",downrange,Spit Valve,"BP Run Club
",f3crossroads
"Aug 29, 2025",ao-the-ridge,Pull-up,"Pullup special 
",f3crossroads
"Aug 29, 2025",ao-the-colosseum,Foundation,"Foundation’s 5 year beatdown
",f3crossroads
"Aug 29, 2025",ao-the-olympiad,Cinderella,"5k Time Trial
",f3crossroads
"Aug 28, 2025",ao-the-olympiad,Hank Hill,"Dang It, Peggy, These Men Don’t Hustle
",f3crossroads
"Aug 28, 2025",rg_ec2,Depends (3rdF Q),"ran 2
",f3crossroads
"Aug 28, 2025",ao-the-colosseum,Jellystone,"Did you know the rain is gonna start around 7?
",f3crossroads
"Aug 28, 2025",downrange,Puddles,"puddles bday Fantasy Football Rain Beatdown
",f3crossroads
"Aug 28, 2025",rg_ec2,Old Maid,"ec2
",f3crossroads
"Aug 28, 2025",2nd-f-coffeteria,Napster,"After Hank's AoVQ Olympiad, we Dunkin'ed
",f3crossroads
"Aug 28, 2025",ao-black-diamond,vern,"Rainy 11s by Vern
",f3crossroads
"Aug 28, 2025",ao-the-island,Celine Dion,"Celine’s Got 5 On It! ? 
",f3cha-min-wood
"Aug 28, 2025",downrange,F3CrossroadsIL,"Pearl Two Wolves Naperville
",f3crossroads
"Aug 28, 2025",2nd-f-coffeteria,Hanger,"Jelly 5 Year
",f3crossroads
"Aug 28, 2025",ao-el-coyote,Manhole,"Manhole’s PT little ruck
",f3crossroads
"Aug 28, 2025",ao-the-wood,Farmers Only,"Farmers EEBC
",f3cha-min-wood
"Aug 28, 2025",3rd-f-qsource,Depends (3rdF Q),"Q3.8 Candor
",f3crossroads
"Aug 28, 2025",rg_3rdf_donation,Depends (3rdF Q),"donation to the brad price fund
",f3crossroads
"Aug 28, 2025",ao-the-campus,Puddles,"Puddles B-Day Celebration
",f3cha-min-wood
"Aug 28, 2025",ao-the-ridge,Bronco,"Bronco’s Pavillion of Pain!
",f3crossroads
"Aug 28, 2025",rg_popup,Depends (3rdF Q),"popup week 1 or whatever
",f3crossroads
"Aug 27, 2025",downrange,FINCH,"Finch 4 corners
",f3crossroads
"Aug 27, 2025",ao-three-rivers-pm,Finch,"Finch's 4 corners
",f3cha-min-wood
"Aug 27, 2025",downrange,Aladdin,"Aladdin Run Club @Dark Tower F3 Naperville 
",f3crossroads
"Aug 27, 2025",ao-the-silo,Dear Abby,"DA’s DA at DASilo
",f3crossroads
"Aug 27, 2025",ao-the-colosseum,Old Maid,"Old Maids 3:1 Ruck Club
",f3crossroads
"Aug 27, 2025",downrange,Slackbot,"The Wood 8/27 (edit yourself in if I missed ya)
",f3crossroads
"Aug 27, 2025",ao-the-wood,Dog House,"Broga at the hardest AO the Wood ? 
",f3cha-min-wood
"Aug 27, 2025",ao-ravens-nest,Foreclosure,"Backblast: Foreclosure 500
",f3crossroads
"Aug 27, 2025",ao-the-ridge,Foundation,"Foundation's partner miles
",f3crossroads
"Aug 26, 2025",ao-black-diamond,Hatchet (Lizard Q),"Hatchet BD Ruck
",f3crossroads
"Aug 26, 2025",rg_ec2,Depends (3rdF Q),"run with meta test
",f3crossroads
"Aug 26, 2025",ao-the-colosseum,Cowbell,"Cowbell’s Circle
",f3crossroads
"Aug 26, 2025",downrange,F3CrossroadsIL,"Gear BC The Snake Pit Fort Mill SC
",f3crossroads
"Aug 26, 2025",ao-dmz,Mr. Belding,"Mr. Beldings Beatdown
",f3crossroads
"Aug 26, 2025",ao-black-rock,Ricola,"Riccola’s Bootcamp
",f3crossroads
"Aug 26, 2025",ao-the-wood,Snail Mail,"Blazing Trails with Snail Mail
",f3cha-min-wood
"Aug 26, 2025",ao-the-ridge,Foundation,"Foundation’s DORA
",f3crossroads
"Aug 26, 2025",downrange,Slackbot,"Final week of sandlot at the wood
",f3crossroads
"Aug 26, 2025",downrange,Messi F3 Southside,"Tractor Tire F3 Southside@The Patriot
",f3crossroads
"Aug 26, 2025",ao-three-rivers,Deja vu,"Climb the ladder
",f3cha-min-wood
"Aug 26, 2025",ao-el-coyote,Mahomes,"Your choice run/ruck
",f3crossroads
"Aug 26, 2025",3rd-f-qsource,Hank Hill,"Q Source - El Coyote - Q1.2 - King
",f3crossroads
"Aug 25, 2025",ao-the-colosseum,Depends (3rdF Q),"Run Club Out and Back
",f3crossroads
"Aug 25, 2025",ao-the-grove,Zimmer,"A Bear Crawl Through the Park
",f3crossroads
"Aug 25, 2025",downrange,F3CrossroadsIL,"@Frosty Q @The Woodsh3d (Punt, Pass & Kick Challenge",f3crossroads
"Aug 25, 2025",ao-three-rivers-pm,Manhole,"Manhole ruck with PT
",f3cha-min-wood
"Aug 25, 2025",ao-the-island,Picasso,"Picasso’s Swol AF Bootcamp
",f3cha-min-wood
"Aug 25, 2025",downrange,Manhole,"Ruck with PT
",f3crossroads
"Aug 25, 2025",ao-the-ridge,Mr. Belding,"On the move with Mr Belding !
",f3crossroads
"Aug 25, 2025",downrange,Elsa,"Elsa at the Globe
",f3crossroads
"Aug 25, 2025",ao-the-silo,Nemo,"4 rounds of Nemo
",f3crossroads
"Aug 25, 2025",ao-the-wood,Tool Box,"toolbox fireman test
",f3cha-min-wood
"Aug 24, 2025",2nd-f,Schlitz,"Rucking awesome day for a Ruck
",f3crossroads
"Aug 23, 2025",ao-da-grizz,Cowbell,"Cowbell's City Hustle
",f3crossroads
"Aug 23, 2025",2nd-f-coffeteria,fuzzy navel,"""Fish-o-teria""
",f3crossroads
"Aug 23, 2025",ao-the-ridge,Dauber,"Dauber's Ultimate Football Leauge
",f3crossroads
"Aug 23, 2025",2nd-f-coffeteria,Napster,"Post Naperville Convergence
",f3crossroads
"Aug 23, 2025",downrange,Rooney,"Morris Black Ops 2
",f3cha-min-wood
"Aug 23, 2025",downrange,Supply Chain (F3N),"Naperville Summer Convergence Launch Pad
",f3crossroads
"Aug 23, 2025",ao-black-diamond,Spike Horn,"Spike Horn Triphasic training 
",f3cha-min-wood
"Aug 23, 2025",downrange,Spike Horn,"BD lift club 
",f3crossroads
"Aug 23, 2025",ao-the-wood,SoftHands,"RUCK Club at the Wood
",f3cha-min-wood
"Aug 23, 2025",downrange,Rooney,"ChaMinWood Black Ops
",f3crossroads
"Aug 23, 2025",downrange,Soft Hands,"Ruck club 
",f3crossroads
"Aug 23, 2025",ao-the-colosseum,Spit Valve,"Spits Scout Run
",f3crossroads
"Aug 22, 2025",2nd-f-coffeteria,Dilly Dilly,"Mr Drippy on Q
",f3crossroads
"Aug 22, 2025",ao-the-ridge,Bedpan,"Bedpan 6 Manniversary 
",f3crossroads
"Aug 22, 2025",2nd-f,Plankton,"F3 Salmon outing 
",f3cha-min-wood
"Aug 22, 2025",downrange,Foreclosure,"Slinging bricks with Pork Loader at 3R
",f3crossroads
"Aug 22, 2025",ao-the-grove,Dungeon Master,"The Grove Fridays Co-Q Beatdown
",f3crossroads
"Aug 22, 2025",3rd-f,fuzzy navel,"Shrimp strawberries fish beans and busywork
",f3crossroads
"Aug 22, 2025",ao-the-colosseum,Dauber,"Dauber’s Pearls Beatdown
",f3crossroads
"Aug 22, 2025",ao-da-grizz,Meta,"Bataan Death March
",f3crossroads
"Aug 22, 2025",2nd-f-coffeteria,Sparkler,"Post Co-Q at The Grove Sparkler Coffee
",f3crossroads
"Aug 22, 2025",ao-three-rivers,Foreclosure,"Baby Brick Burner
",f3cha-min-wood
"Aug 22, 2025",ao-three-rivers-pm,Ricola,"Hell Week Episode 2
",f3cha-min-wood
"Aug 22, 2025",ao-the-olympiad,Pull-up,"Negative Splits
",f3crossroads
"Aug 21, 2025",ao-the-olympiad,Dear Abby,"Bootcamp Advice
",f3crossroads
"Aug 21, 2025",ao-el-coyote,Hot Lava,"Hot Lava 2 circuits beatdown
",f3crossroads
"Aug 21, 2025",3rd-f,Cutler,"Taylor Babec Annual blood drive
",f3crossroads
"Aug 21, 2025",ao-the-ridge,Corner Kick,"⚽ Soccer Beatdown at The Ridge ⚽
",f3crossroads
"Aug 21, 2025",ao-the-wood,Flamingo,"?’s ruffle ruck 
",f3cha-min-wood
"Aug 21, 2025",downrange,F3CrossroadsIL,"SLT 6 Ruck
",f3crossroads
"Aug 21, 2025",ao-the-campus,Snail Mail,"15-20-25-30
",f3cha-min-wood
"Aug 21, 2025",2nd-f-coffeteria,Scratch and Dent,"Colosseum, Peterbilt Reps! Scratch n Dent Cafe
",f3crossroads
"Aug 21, 2025",ao-black-diamond,Mr. Kotter,"Rucking turns us on and makes us wet
",f3crossroads
"Aug 21, 2025",ao-the-colosseum,Peterbilt,"Peterbilt's Return
",f3crossroads
"Aug 21, 2025",3rd-f-qsource,TruGreen,"Q3.7 Exhortation 
",f3crossroads
"Aug 20, 2025",ao-three-rivers-pm,Finch,"Heavy Ruck
",f3cha-min-wood
"Aug 20, 2025",ao-the-silo,Hat Trick,"Hat Trick’s Teams of Big Boy Rotation
",f3crossroads
"Aug 20, 2025",ao-black-diamond,Picasso,"Death March with Picasso
",f3cha-min-wood
"Aug 20, 2025",downrange,Slackbot,"Lifting stuff at the ? & BD @ 3R
",f3crossroads
"Aug 20, 2025",downrange,FINCH,"Downrange 3 Rivers pm
",f3crossroads
"Aug 20, 2025",rg_ec2,Depends (3rdF Q),"EC2 run complete
",f3crossroads
"Aug 20, 2025",ao-the-ridge,Foundation,"Intervals, simple right??
",f3crossroads
"Aug 20, 2025",2nd-f-coffeteria,Dilly Dilly,"Mr Drippy on Q
",f3crossroads
"Aug 20, 2025",ao-the-colosseum,2 Hand Touch (F3 Naperville Nant’an),GTE (Growth Training Event) Style Ruck by 2 Hand Tou,f3crossroads
"Aug 20, 2025",ao-ravens-nest,Peterbilt,"Peterbilts Return To The Gloom Q Tabata Blitz
",f3crossroads
"Aug 20, 2025",2nd-f-coffeteria,YellowPages,Tasty coffee Post Peterbilt's classic tunes BC Raven,f3crossroads
"Aug 20, 2025",downrange,F3CrossroadsIL,"Rainman Q @The Woodsh3d 
",f3crossroads
"Aug 20, 2025",ao-the-wood,GrubX (CMW),"humpday beatdown at the hardest AO the ? WOOD 
",f3cha-min-wood
"Aug 19, 2025",ao-black-rock,Cowbell,"Cowbells Bootcamp
",f3crossroads
"Aug 19, 2025",ao-three-rivers,Webster,"Webster Manniversary
",f3cha-min-wood
"Aug 19, 2025",ao-black-diamond,Broomstick,"8/19/25 Broomstick 
",f3crossroads
"Aug 19, 2025",ao-the-colosseum,Foundation,"Foundations Wagon Wheel. 
",f3crossroads
"Aug 19, 2025",3rd-f-qsource,Hank Hill,"Q Source - 1.1 DRP
",f3crossroads
"Aug 19, 2025",ao-the-wood,Spit Valve(F3 Plainfield),"Today’s miles presented by Spit Valve
",f3cha-min-wood
"Aug 19, 2025",3rd-f-qsource,ATF,"Sua Sponte
",f3cha-min-wood
"Aug 19, 2025",ao-dmz,Deliverance,"wet turf field, not @Morticia 
",f3crossroads
"Aug 19, 2025",downrange,Spit Valve,"Run Club at the Wood
",f3crossroads
"Aug 19, 2025",ao-el-coyote,Mahomes,"Running with ruckers
",f3crossroads
"Aug 19, 2025",ao-the-ridge,Hank Hill,"Pearl on a String and 7’s Swamp Workout
",f3crossroads
"Aug 18, 2025",2nd-f-coffeteria,Foundation,"No Q Topics: Who traffic is gonna be a nightmare on ",f3crossroads
"Aug 18, 2025",downrange,Manhole,"Manhole Hot 11’s
",f3crossroads
"Aug 18, 2025",ao-the-silo,Foundation,"Tabato,Tabata… tomato,tomata 
",f3crossroads
"Aug 18, 2025",2nd-f-coffeteria,Schlitz,"Post Grove Monday Dunkin' 
",f3crossroads
"Aug 18, 2025",ao-the-colosseum,Singer,"Mile time trial 
",f3crossroads
"Aug 18, 2025",ao-the-ridge,Old Maid,"Bunch of nuts doing 11s
",f3crossroads
"Aug 18, 2025",downrange,Slackbot,"Ruck club at BP
",f3crossroads
"Aug 18, 2025",ao-the-grove,Dilbert,"Dilbert’s Double Dip
",f3crossroads
"Aug 18, 2025",ao-three-rivers-pm,Manhole,"Hot 11's
",f3cha-min-wood
"Aug 18, 2025",ao-the-wood,Rooney,"Rooneys Iron Abs
",f3cha-min-wood
"Aug 18, 2025",ao-the-island,Dog House,"Doghouse Choices 
",f3cha-min-wood
"Aug 18, 2025",2nd-f-coffeteria,Ricola,"8/18 - Mimi’s Stop - Doghouse found his table 
",f3cha-min-wood
"Aug 17, 2025",2nd-f,Schlitz,"Clear weather ruck.  
",f3crossroads
"Aug 16, 2025",downrange,Foreclosure,"Ruck club 3 yr manny 
",f3crossroads
"Aug 16, 2025",ao-the-ridge,Celler Dweller,"Celler Dwellers Ultimate Football
",f3crossroads
"Aug 16, 2025",ao-the-wood,Foreclosure,"Saturday WOOD Ruck Club
",f3cha-min-wood
"Aug 16, 2025",downrange,Foghorn,"POAS @ Foxboro
",f3crossroads
"Aug 16, 2025",ao-da-grizz,Hank Hill,"Hank's Hike
",f3crossroads
"Aug 16, 2025",downrange,Tool Box,"Morris black ops
",f3cha-min-wood
"Aug 16, 2025",downrange,Slackbot,"BD lift club 
",f3crossroads
"Aug 16, 2025",ao-the-colosseum,Sparky,"Sparkys Lucky 7s & Dora BC
",f3crossroads
"Aug 16, 2025",ao-black-diamond,Foreclosure,"Foreclosure 3 year manny pt. 1 - BD
",f3cha-min-wood
"Aug 16, 2025",downrange,F3CrossroadsIL,"Buzzsaw (Parks & Rec on Q)
",f3crossroads
"Aug 16, 2025",2nd-f-coffeteria,YellowPages,"Coffee and ""Day Olds""
",f3crossroads
"Aug 16, 2025",downrange,slackblast,"F3 CMW Morris Black Ops
",f3crossroads
"Aug 16, 2025",2nd-f,Homer Simpson,"Offspring…eventually (stupid storms)
",f3crossroads
"Aug 15, 2025",ao-the-olympiad,Cutler,"The Scout
",f3crossroads
"Aug 15, 2025",ao-the-ridge,Hat Trick,"hat tricks team q
",f3crossroads
"Aug 15, 2025",downrange,Foreclosure,"The Bear Kings Den 
",f3crossroads
"Aug 15, 2025",2nd-f-coffeteria,Dilly Dilly,"Mr Drippy on Q
",f3crossroads
"Aug 15, 2025",ao-the-grove,Great Clips,"Great Clips Lift Day at The Grove Fridays 
",f3crossroads
"Aug 15, 2025",ao-three-rivers,Ricola,"Hell Week Friday 
",f3cha-min-wood
"Aug 15, 2025",ao-the-colosseum,Chum Bucket,"2K Gauntlet Beatdown
",f3crossroads
"Aug 15, 2025",ao-da-grizz,Boomer,"Grizzly ladder
",f3crossroads
"Aug 14, 2025",ao-black-diamond,John Denver,"Black Diamond Run Club at The Grove! 4 Corners JFD
",f3crossroads
"Aug 14, 2025",2nd-f-coffeteria,Scratch and Dent,"Back to school coffee Colosseum
",f3crossroads
"Aug 14, 2025",ao-the-colosseum,Bunker,"Back to School
",f3crossroads
"Aug 14, 2025",ao-the-wood,Snail Mail,"Snail Mail Core Burner 
",f3cha-min-wood
"Aug 14, 2025",ao-the-olympiad,Depends (3rdF Q),The Birthday Games: May the Odds Be Ever in Your Aor,f3crossroads
"Aug 14, 2025",ao-the-island,Latte,"Hell week 25 Ep. 6 substitute 
",f3cha-min-wood
"Aug 14, 2025",ao-the-ridge,Woody,"Woody’s Back-to-School Beatdown! ??
",f3crossroads
"Aug 14, 2025",ao-the-campus,Ricola,"Make the Day Count
",f3cha-min-wood
"Aug 14, 2025",3rd-f-qsource,Olive Oyl,"Q3.6 Persuasion 
",f3crossroads
"Aug 14, 2025",ao-el-coyote,Mahomes,"Mahomes Scout Run 
",f3crossroads
"Aug 13, 2025",ao-the-ridge,5-Putt,"Mystery Run - Solved
",f3crossroads
"Aug 13, 2025",ao-the-wood,Huffy,"TOUR DE WOOD ? 
",f3cha-min-wood
"Aug 13, 2025",downrange,Foreclosure,"Q at The Bear (Kings Den) + Black Diamond (CHMW The ",f3crossroads
"Aug 13, 2025",ao-black-diamond,Latte,"Swimming at the Island (Latte’s BDay Diamond)
",f3cha-min-wood
"Aug 13, 2025",2nd-f-coffeteria,Cutler,"Cutler's butcher shop Post Cut Not Hot Azz Water
",f3crossroads
"Aug 13, 2025",ao-the-colosseum,Dilbert,"Dilbert’s Out & Back Ruck Club
",f3crossroads
"Aug 13, 2025",ao-the-silo,Pop-Tart (F3 Outlands),"PopTart’s 91st Q BC
",f3crossroads
"Aug 13, 2025",2nd-f-coffeteria,Zimmer,"Coffee after TC Ruck Club
",f3crossroads
"Aug 13, 2025",downrange,F3CrossroadsIL,"Huffy at TW
",f3crossroads
"Aug 13, 2025",ao-ravens-nest,Cutler,"Getting Cut with Cutler 
",f3crossroads
"Aug 13, 2025",ao-three-rivers-pm,Ricola,"Hell Week episode 5
",f3cha-min-wood
"Aug 12, 2025",ao-black-rock,Ricola,"Hell Week Episode 3 ??‍♂️ 
",f3crossroads
"Aug 12, 2025",3rd-f-qsource,Mahomes,"Q Source - Q1 - Get Right - El Coyote 
",f3crossroads
"Aug 12, 2025",ao-the-colosseum,Singer,"Singer’s Boot Camp VQ!
",f3crossroads
"Aug 12, 2025",2nd-f-coffeteria,Hanger,"30-60-90 
",f3crossroads
"Aug 12, 2025",ao-the-ridge,Juanita,"30-60-90 Beatdown
",f3crossroads
"Aug 12, 2025",ao-el-coyote,Pop-Tart (F3 Outlands),"Ruckin w/ PT
",f3crossroads
"Aug 12, 2025",2nd-f-coffeteria,Jellystone,"Dunkin post Singer's BCVQ Colosseum 
",f3crossroads
"Aug 12, 2025",ao-dmz,Bedpan,"Next Challenege Beatdown
",f3crossroads
"Aug 12, 2025",ao-black-diamond,Pull-up,"Farmer and rifle carry with pull up 
",f3crossroads
"Aug 12, 2025",3rd-f-qsource,Deja vu,"Q4 - Leave Right
",f3cha-min-wood
"Aug 12, 2025",downrange,F3CrossroadsIL,"The Outpost Ruck
",f3crossroads
"Aug 12, 2025",ao-three-rivers,Deja vu,"Circuit Training 90’s style
",f3cha-min-wood
"Aug 12, 2025",ao-the-wood,Rooney,"Rooney’s Rainy Run Day 
",f3cha-min-wood
