user_id,user_name,first_date,first_week,post_count
U0194BS469Y,Bunny Hill,2025-11-01,0,1
U01KXPKDF97,Heifer,2025-11-01,0,2
U02KRH34RCK,Choco Taco,2025-11-01,0,1
U03T1RAT3UP,Boo Boo,2025-11-01,0,1
U03TL1GG31B,Freon,2025-11-01,0,1
U04Q1H1MQKF,Farmers Only,2025-11-01,0,1
U0539LAHZ1N,Training Wheels,2025-11-01,0,1
U0577FMQ4KC,Home goods,2025-11-01,0,1
U057QBF3TPW,Deja vu,2025-11-01,0,1
U05CT4M9CEN,El Guapo,2025-11-01,0,1
U05J5AE2ZS5,Tighty Whities,2025-11-01,0,1
U06DNF8P3MM,Dial Tone,2025-11-01,0,1
U06HEUK00QZ,Preacher,2025-11-01,0,1
U07DZN6K0TZ,Tinactin (F3 Naperville),2025-11-01,0,1
U07GDQCLB0T,Don Quixote,2025-11-01,0,2
U08PAQ625N1,Cummins (F3 CHAMINWOOD),2025-11-01,0,1
U0929V6HD5H,Kickflip,2025-11-01,0,1
U09N749ET09,Underdog (Chaminwood),2025-11-01,0,2
U09PQTWN83S,PFG,2025-11-01,0,1
U09QZ34QXFS,Unknown Name,2025-11-01,0,1
