date,week,Team,user_name,ao,type,points,notes
2025-07-12,0,Olive,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2025-07-16,1,Olive,Bedpan,downrange,1stf,3.0,downrange
2025-07-17,1,Olive,Bedpan,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2025-07-17,1,Olive,Bedpan,3rd-f-qsource,qs,4.0,QS
2025-07-21,2,Olive,Bedpan,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2025-07-22,2,Olive,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2025-07-23,2,Olive,Bedpan,ao-the-silo,1stf,3.0,ao-the-silo
2025-07-24,2,Olive,Bedpan,downrange,1stf,3.0,downrange
2025-07-28,3,Olive,Bedpan,2nd-f,2ndf,3.0,5th year anniversary party
2025-07-28,3,Olive,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2025-07-30,3,Olive,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2025-07-31,3,Olive,Bedpan,3rd-f-qsource,qs,4.0,QS
2025-07-31,3,Olive,Bedpan,ao-the-olympiad,workout Q,1.0,Q
2025-07-31,3,Olive,Bedpan,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2025-08-01,3,Olive,Bedpan,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2025-08-02,3,Olive,Bedpan,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2025-08-05,4,Olive,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2025-08-06,4,Olive,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2025-08-12,5,Olive,Bedpan,ao-dmz,workout Q,1.0,Q
2025-08-12,5,Olive,Bedpan,ao-dmz,1stf,3.0,ao-dmz
2025-08-13,5,Olive,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2025-08-14,5,Olive,Bedpan,ao-the-ridge,1stf,3.0,ao-the-ridge
2025-08-14,5,Olive,Bedpan,3rd-f-qsource,qs,4.0,QS
