date,week,Team,user_name,ao,type,points,notes
2024-11-02,0.0,Cupid,Hanger,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-04,1.0,Cupid,Hanger,downrange,1stf,3.0,downrange
2024-11-05,1.0,Cupid,Hanger,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-06,1.0,Cupid,Hanger,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-11-07,1.0,Cupid,Hanger,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-08,1.0,Cupid,Hanger,,Around The World,5.0,"('ao-the-ridge', 'ao-the-colosseum', 'ao-ravens-nest', 'ao-the-olympiad', 'downrange')"
2024-11-08,1.0,Cupid,Hanger,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-09,1.0,Cupid,Hanger,3rd-f,3rdf,5.0,2024 Halloween Candy Drive
2024-11-11,2.0,Cupid,Hanger,ao-the-colosseum,workout Q,1.0,Q
2024-11-11,2.0,Cupid,Hanger,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-12,2.0,Cupid,Hanger,ao-dmz,1stf,3.0,ao-dmz
2024-11-13,2.0,Cupid,Hanger,ao-the-silo,1stf,3.0,ao-the-silo
2024-11-14,2.0,Cupid,Hanger,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-15,2.0,Cupid,Hanger,,Around The World,5.0,"('ao-the-ridge', 'ao-the-colosseum', 'ao-dmz', 'ao-the-silo', 'ao-da-grizz')"
2024-11-15,2.0,Cupid,Hanger,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-18,3.0,Cupid,Hanger,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-19,3.0,Cupid,Hanger,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-20,3.0,Cupid,Hanger,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-21,3.0,Cupid,Hanger,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-22,3.0,Cupid,Hanger,,Around The World,5.0,"('ao-the-ridge', 'ao-the-colosseum', 'ao-da-grizz', 'ao-the-olympiad', 'ao-the-grove')"
2024-11-22,3.0,Cupid,Hanger,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-23,3.0,Cupid,Hanger,,sixpack bonus,4.0,"('ao-the-grove', 'ao-the-ridge', 'ao-the-colosseum', 'ao-the-olympiad', 'ao-da-grizz', 'ao-the-ridge')"
2024-11-23,3.0,Cupid,Hanger,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-25,4.0,Cupid,Hanger,2nd-f,2ndf,3.0,Big Bear Let Down
2024-11-25,4.0,Cupid,Hanger,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-26,4.0,Cupid,Hanger,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-29,4.0,Cupid,Hanger,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-29,4.0,Cupid,Hanger,3rd-f-qsource,qs,5.0,QS
2024-12-02,5.0,Cupid,Hanger,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-12-03,5.0,Cupid,Hanger,ao-dmz,1stf,3.0,ao-dmz
2024-12-04,5.0,Cupid,Hanger,ao-the-silo,1stf,3.0,ao-the-silo
2024-12-05,5.0,Cupid,Hanger,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-12-06,5.0,Cupid,Hanger,,Around The World,5.0,"('ao-the-ridge', 'ao-the-colosseum', 'ao-dmz', 'ao-the-silo', 'ao-the-olympiad')"
2024-12-06,5.0,Cupid,Hanger,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-12-07,5.0,Cupid,Hanger,,sixpack bonus,4.0,"('ao-the-ridge', 'ao-dmz', 'ao-the-silo', 'ao-the-olympiad', 'ao-the-colosseum', 'downrange')"
2024-12-07,5.0,Cupid,Hanger,downrange,1stf,3.0,downrange
2024-12-09,6.0,Cupid,Hanger,ao-the-grove,1stf,3.0,ao-the-grove
2024-12-10,6.0,Cupid,Hanger,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-12-11,6.0,Cupid,Hanger,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-12-13,6.0,Cupid,Hanger,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-12-14,6.0,Cupid,Hanger,,Around The World,5.0,"('ao-the-ridge', 'ao-the-colosseum', 'ao-ravens-nest', 'ao-the-grove', 'downrange')"
2024-12-14,6.0,Cupid,Hanger,downrange,1stf,3.0,downrange
2024-11-06,1.0,Prancer,Gopher,ao-the-silo,1stf,3.0,ao-the-silo
2024-11-07,1.0,Prancer,Gopher,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-08,1.0,Prancer,Gopher,3rd-f-qsource,qs,5.0,QS
2024-11-08,1.0,Prancer,Gopher,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-09,1.0,Prancer,Gopher,3rd-f,3rdf,5.0,2024 Halloween Candy Drive
2024-11-09,1.0,Prancer,Gopher,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-09,1.0,Prancer,Gopher,,Around The World,5.0,"('ao-the-ridge', 'ao-the-colosseum', 'ao-the-silo', 'ao-da-grizz', 'ao-the-olympiad')"
2024-11-09,1.0,Prancer,Gopher,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-12,2.0,Prancer,Gopher,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-13,2.0,Prancer,Gopher,downrange,1stf,3.0,downrange
2024-11-14,2.0,Prancer,Gopher,3rd-f-qsource,qs,5.0,QS
2024-11-14,2.0,Prancer,Gopher,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-15,2.0,Prancer,Gopher,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-16,2.0,Prancer,Gopher,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-19,3.0,Prancer,Gopher,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-20,3.0,Prancer,Gopher,downrange,1stf,3.0,downrange
2024-11-21,3.0,Prancer,Gopher,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-21,3.0,Prancer,Gopher,3rd-f-qsource,qs,5.0,QS
2024-11-22,3.0,Prancer,Gopher,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-26,4.0,Prancer,Gopher,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-28,4.0,Prancer,Gopher,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-12-10,6.0,Prancer,Gopher,ao-dmz,1stf,3.0,ao-dmz
2024-12-12,6.0,Prancer,Gopher,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-02,0.0,Comet,Bob Villa,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-02,0.0,Comet,Bob Villa,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-04,1.0,Comet,Bob Villa,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-08,1.0,Comet,Bob Villa,3rd-f-qsource,qs,5.0,QS
2024-11-08,1.0,Comet,Bob Villa,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-09,1.0,Comet,Bob Villa,3rd-f,3rdf,5.0,2024 Halloween Candy Drive
2024-11-09,1.0,Comet,Bob Villa,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-09,1.0,Comet,Bob Villa,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-11,2.0,Comet,Bob Villa,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-12,2.0,Comet,Bob Villa,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-13,2.0,Comet,Bob Villa,ao-the-silo,1stf,3.0,ao-the-silo
2024-11-15,2.0,Comet,Bob Villa,3rd-f-qsource,qs,5.0,QS
2024-11-15,2.0,Comet,Bob Villa,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-16,2.0,Comet,Bob Villa,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-18,3.0,Comet,Bob Villa,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-20,3.0,Comet,Bob Villa,ao-the-silo,1stf,3.0,ao-the-silo
2024-11-22,3.0,Comet,Bob Villa,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-25,4.0,Comet,Bob Villa,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-27,4.0,Comet,Bob Villa,ao-the-silo,1stf,3.0,ao-the-silo
2024-11-28,4.0,Comet,Bob Villa,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-12-03,5.0,Comet,Bob Villa,ao-el-coyote,workout Q,1.0,Q
2024-12-03,5.0,Comet,Bob Villa,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-12-06,5.0,Comet,Bob Villa,2nd-f,2ndf,3.0,First Friday at Werk Force
2024-12-14,6.0,Comet,Bob Villa,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-03,1.0,Comet,Sparkler,2nd-f,2ndf,3.0,Coffee Ruck.  Free points turnout.
2024-11-04,1.0,Comet,Sparkler,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-05,1.0,Comet,Sparkler,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-11-06,1.0,Comet,Sparkler,downrange,1stf,3.0,downrange
2024-11-07,1.0,Comet,Sparkler,downrange,1stf,3.0,downrange
2024-11-08,1.0,Comet,Sparkler,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-09,1.0,Comet,Sparkler,3rd-f,3rdf,5.0,2024 Halloween Candy Drive
2024-11-11,2.0,Comet,Sparkler,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-12,2.0,Comet,Sparkler,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-11-15,2.0,Comet,Sparkler,2nd-f,2ndf,3.0,Station 1 lunch
2024-11-15,2.0,Comet,Sparkler,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-18,3.0,Comet,Sparkler,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-19,3.0,Comet,Sparkler,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-11-20,3.0,Comet,Sparkler,ao-the-silo,1stf,3.0,ao-the-silo
2024-11-21,3.0,Comet,Sparkler,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-22,3.0,Comet,Sparkler,,Around The World,5.0,"('ao-the-ridge', 'ao-the-silo', 'ao-black-diamond', 'ao-the-olympiad', 'downrange')"
2024-11-22,3.0,Comet,Sparkler,downrange,1stf,3.0,downrange
2024-11-25,4.0,Comet,Sparkler,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-26,4.0,Comet,Sparkler,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-11-27,4.0,Comet,Sparkler,downrange,1stf,3.0,downrange
2024-11-28,4.0,Comet,Sparkler,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-29,4.0,Comet,Sparkler,,Around The World,5.0,"('ao-the-ridge', 'ao-the-colosseum', 'ao-black-diamond', 'ao-da-grizz', 'downrange')"
2024-11-29,4.0,Comet,Sparkler,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-12-02,5.0,Comet,Sparkler,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-12-03,5.0,Comet,Sparkler,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-12-04,5.0,Comet,Sparkler,ao-the-ridge,workout Q,1.0,Q
2024-12-04,5.0,Comet,Sparkler,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-12-05,5.0,Comet,Sparkler,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-12-06,5.0,Comet,Sparkler,,Around The World,5.0,"('ao-the-ridge', 'ao-the-colosseum', 'ao-black-diamond', 'ao-da-grizz', 'ao-the-olympiad')"
2024-12-06,5.0,Comet,Sparkler,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-12-09,6.0,Comet,Sparkler,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-12-11,6.0,Comet,Sparkler,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-12-12,6.0,Comet,Sparkler,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-12-13,6.0,Comet,Sparkler,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-05,1.0,Dancer,Jellystone,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-05,1.0,Dancer,Jellystone,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-06,1.0,Dancer,Jellystone,ao-the-silo,1stf,3.0,ao-the-silo
2024-11-07,1.0,Dancer,Jellystone,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-08,1.0,Dancer,Jellystone,,Around The World,5.0,"('ao-el-coyote', 'ao-the-ridge', 'ao-the-colosseum', 'ao-the-silo', 'ao-da-grizz')"
2024-11-08,1.0,Dancer,Jellystone,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-09,1.0,Dancer,Jellystone,,sixpack bonus,4.0,"('ao-el-coyote', 'ao-the-ridge', 'ao-the-silo', 'ao-the-colosseum', 'ao-da-grizz', 'ao-the-colosseum')"
2024-11-09,1.0,Dancer,Jellystone,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-09,1.0,Dancer,Jellystone,3rd-f,3rdf,5.0,2024 Halloween Candy Drive
2024-11-10,2.0,Dancer,Jellystone,2nd-f,2ndf,3.0,Pre highway clean up coffee ruck
2024-11-11,2.0,Dancer,Jellystone,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-13,2.0,Dancer,Jellystone,ao-the-silo,1stf,3.0,ao-the-silo
2024-11-16,2.0,Dancer,Jellystone,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-17,3.0,Dancer,Jellystone,2nd-f,2ndf,3.0,Everett birthday ruck
2024-11-17,3.0,Dancer,Jellystone,2nd-f,2ndf,0.0,2nd F already achieved this week
2024-11-18,3.0,Dancer,Jellystone,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-23,3.0,Dancer,Jellystone,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-25,4.0,Dancer,Jellystone,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-28,4.0,Dancer,Jellystone,ao-the-olympiad,workout Q,1.0,Q
2024-11-28,4.0,Dancer,Jellystone,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-12-05,5.0,Dancer,Jellystone,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-12-06,5.0,Dancer,Jellystone,ao-the-ridge,workout Q,1.0,Q
