date,week,Team,user_name,ao,type,points,notes
2025-09-14,1,Dasher,Hanger,2nd-f,2ndf,3,Hey guys!  There's a deer ruck
2025-09-14,1,Dasher,Hanger,2nd-f,2ndf,0,2nd F already achieved this week
2025-09-21,2,Dasher,Hanger,2nd-f,2ndf,3,Reset Sunday Ruck
2025-09-21,2,Dasher,Hanger,2nd-f,2ndf,0,2nd F already achieved this week
2025-09-25,2,Dasher,Hanger,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-26,2,Dasher,Hanger,3rd-f,3rdf,5,Pantry Truck
2025-09-26,2,Dasher,Hanger,ao-the-colosseum,workout Q,1,Q
2025-09-26,2,Dasher,Hanger,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-10-05,4,Dasher,Hanger,2nd-f,2ndf,3,No free puppies ruck
2025-10-08,4,Dasher,Hanger,ao-the-silo,workout Q,1,Q
2025-10-08,4,Dasher,Hanger,ao-the-silo,1stf,3,ao-the-silo
2025-10-09,4,Dasher,Hanger,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-10-14,5,Dasher,Hanger,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-13,0,Dasher,Schlitz,ao-da-grizz,1stf,3,ao-da-grizz
2025-09-14,1,Dasher,Schlitz,2nd-f,2ndf,3,Hey guys!  There's a deer ruck
2025-09-19,1,Dasher,Schlitz,ao-the-grove,workout Q,1,Q
2025-09-19,1,Dasher,Schlitz,ao-the-grove,1stf,3,ao-the-grove
2025-09-20,1,Dasher,Schlitz,ao-da-grizz,1stf,3,ao-da-grizz
2025-09-20,1,Dasher,Schlitz,2nd-f,2ndf,0,2nd F already achieved this week
2025-09-21,2,Dasher,Schlitz,2nd-f,2ndf,3,Reset Sunday Ruck
2025-09-22,2,Dasher,Schlitz,ao-the-grove,1stf,3,ao-the-grove
2025-09-26,2,Dasher,Schlitz,ao-the-grove,1stf,3,ao-the-grove
2025-09-26,2,Dasher,Schlitz,3rd-f,3rdf,5,Pantry Truck
2025-09-28,3,Dasher,Schlitz,2nd-f,2ndf,3,"fire trucks, runners, and sparkler ruck"
2025-10-03,3,Dasher,Schlitz,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-10-03,3,Dasher,Schlitz,2nd-f,2ndf,0,2nd F already achieved this week
2025-10-04,3,Dasher,Schlitz,ao-da-grizz,1stf,3,ao-da-grizz
2025-10-05,4,Dasher,Schlitz,2nd-f,2ndf,3,No free puppies ruck
2025-10-11,4,Dasher,Schlitz,ao-the-colosseum,1stf,3,ao-the-colosseum
2025-10-12,5,Dasher,Schlitz,2nd-f,2ndf,3,Back to the bridge ruck
2025-10-13,5,Dasher,Schlitz,ao-the-grove,1stf,3,ao-the-grove
2025-09-15,1,Comet,Dilbert,rg_ec3,ec,3,"EC, noice!"
2025-09-15,1,Comet,Dilbert,ao-the-grove,1stf,3,ao-the-grove
2025-09-15,1,Comet,Dilbert,rg_ec3,ec,0,EC points already earned today
2025-09-17,1,Comet,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-18,1,Comet,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-19,1,Comet,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-20,1,Comet,Dilbert,2nd-f,2ndf,3,Plainfield Homecoming Parade
2025-09-22,2,Comet,Dilbert,ao-the-grove,1stf,3,ao-the-grove
2025-09-23,2,Comet,Dilbert,ao-dmz,workout Q,1,Q
2025-09-23,2,Comet,Dilbert,ao-dmz,1stf,3,ao-dmz
2025-09-24,2,Comet,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-26,2,Comet,Dilbert,3rd-f,3rdf,5,Pantry Truck
2025-09-26,2,Comet,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-09-29,3,Comet,Dilbert,ao-the-grove,1stf,3,ao-the-grove
2025-09-30,3,Comet,Dilbert,ao-dmz,1stf,3,ao-dmz
2025-10-01,3,Comet,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-03,3,Comet,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-06,4,Comet,Dilbert,ao-the-grove,1stf,3,ao-the-grove
2025-10-08,4,Comet,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-09,4,Comet,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-10,4,Comet,Dilbert,ao-the-ridge,1stf,3,ao-the-ridge
2025-10-13,5,Comet,Dilbert,ao-the-grove,1stf,3,ao-the-grove
